"merge","id","id_str","name","screen_name","location","description","url","followers_count","friends_count","created_at","time_zone","lang","party"
"usrepkeating",232992031,232992031,"Bill Keating","USRepKeating","Bourne, Ma","Welcome to the official Twitter page of Congressman Bill Keating!","http://t.co/QaDOYmqOzS",4844,583,"Sat Jan 01 23:58:47 +0000 2011","Central Time (US & Canada)","en","D"
"usrepmikedoyle",39249305,39249305,"Mike Doyle","USRepMikeDoyle","Pittsburgh, PA","U.S. Member of Congress representing PA's 14th District","http://t.co/25kSrTWizi",7012,33,"Mon May 11 13:22:08 +0000 2009","Quito","en","D"
"usreprhinojosa",239905257,239905257,"Rep. Rubén Hinojosa","USRepRHinojosa","","Proudly representing the 15th Congressional District of Texas","http://t.co/QiAaQKIN34",6419,454,"Tue Jan 18 18:13:06 +0000 2011",NA,"en","D"
"usrepricknolan",1055685948,1055685948,"U.S. Rep. Rick Nolan","USRepRickNolan","","This is the official Twitter account for U.S Congressman Rick Nolan, proudly serving the people of Minnesota's 8th Congressional District.","http://t.co/Yv7W0ZPnhx",3534,806,"Wed Jan 02 17:51:28 +0000 2013","Eastern Time (US & Canada)","en","D"
"vernbuchanan",20467163,20467163,"Rep. Vern Buchanan","VernBuchanan","Florida's 16th District","U.S. Congressman","http://t.co/Uq79SDySq2",15306,10943,"Mon Feb 09 21:05:19 +0000 2009","Eastern Time (US & Canada)","en","R"
"virginiafoxx",16256269,16256269,"Virginia Foxx","virginiafoxx","Banner Elk, NC","Congresswoman Virginia Foxx. Conservative representing North Carolina's Fifth District.","http://t.co/v3FwVSsRH1",12414,1390,"Fri Sep 12 13:30:07 +0000 2008","Eastern Time (US & Canada)","en","R"
"vp",325830217,325830217,"Vice President Biden","VP","Washington, D.C.","This account is run by the Office of the Vice President. Tweets from VP Biden are signed –VP. Tweets may be archived. More at http://t.co/KcS2bmEJun.","http://t.co/NgUd6eRXCR",398897,101,"Tue Jun 28 23:07:42 +0000 2011","Eastern Time (US & Canada)","en","D"
"waysandmeansgop",12788332,12788332,"Ways and Means ","WaysandMeansGOP","Washington, D.C.","The Committee is the chief tax-writing committee in the House of Representatives.  For additional info on tax reform follow @FixOurTaxCode","http://t.co/tcSTUfM2xb",15030,498,"Mon Jan 28 15:30:34 +0000 2008","Eastern Time (US & Canada)","en",NA
"waysmeanscmte",31128529,31128529,"Ways and Means Dems","WaysMeansCmte","Washington, DC","Welcome to the Official Twitter Feed of the House Ways and Means Committee Democrats.","http://t.co/yxgPUTLLyR",12026,2083,"Tue Apr 14 14:06:39 +0000 2009","Eastern Time (US & Canada)","en",NA
"whiphoyer",22012091,22012091,"Steny Hoyer","WhipHoyer","Washington, DC","The Democratic Whip of the U.S. House of Representatives, representing Maryland's 5th Congressional District.","http://t.co/1jL267BoNe",47380,3885,"Thu Feb 26 14:13:01 +0000 2009","Eastern Time (US & Canada)","en","D"
"yvetteclarke",240812994,240812994,"Yvette D. Clarke","YvetteClarke","Brooklyn, NY","U.S. Representative proudly serving New York's 9th Congressional district. RT ≠ endorsement.","http://t.co/ruU2CXhyLM",8927,4042,"Thu Jan 20 20:14:21 +0000 2011",NA,"en","D"
